Stars,Title_of_Review,Base_Review,,,
3.0 out of 5 stars,I don't care for,I don't care for,,,
5.0 out of 5 stars,Great way to unwind,Love to just take a coffee break and lose myself in this game for a few minutes between tasks.  Good fun and can be played at your own speed.,,,
1.0 out of 5 stars,Didn't order this.,Don't know how this got into my order list...didn't order it...,,,
1.0 out of 5 stars,One Star,just did not fit my grandkids.  lost interest right away,,,
4.0 out of 5 stars,Challenging and Fun,Good for hand-eye coordination exercise.  Challenging game of collecting items and building treasure chests and buildings.,,,
1.0 out of 5 stars,In app purchase and unbalanced game play,Not good.,,,
2.0 out of 5 stars,Boring.,Not challenging enough. Boring.,,,
4.0 out of 5 stars,Fun,Good variety of puzzles to complete. The game keeps one busy with many different things to do besides the basic story line.,,,
1.0 out of 5 stars,One Star,I don't play it,,,
2.0 out of 5 stars,No good instructions on how to play the game.,It was very frustrating trying to figure things out.  Deleted it.,,,
2.0 out of 5 stars,Two Stars,More information and direction is needed in this game.,,,
2.0 out of 5 stars,Two Stars,Tiles are too small !! :(,,,
4.0 out of 5 stars,Good game but freezes when upgrading,Good game but freezes when upgrading. Otherwise I would have given it 5 stars. But overall good puzzles and story.,,,
4.0 out of 5 stars,Four Stars,"its okay, passes the time it is a very simple game.",,,
5.0 out of 5 stars,Love. Love. Love.,Love. Love. Love.,,,
5.0 out of 5 stars,good game to pass the time,Good game to pass the time with. I haven't had the energy problem that some people have had but I only play a level or two at a time.,,,
5.0 out of 5 stars,fun game,this game is fun and interesting to play,,,
1.0 out of 5 stars,yich,hard to do,,,
1.0 out of 5 stars,thanks,was not interested in product,,,
4.0 out of 5 stars,Fun and interesting,Good game that provides entertainment without having to pay.,,,
5.0 out of 5 stars,"Once you pick it up, you won't put it down!","My favorite game of ALL TIME!!!  I've been playing for months now and it never gets old.  If you love match-3 games, you're going to love this!",,,
3.0 out of 5 stars,Didn't enjoy at all,I thought it was a hard game to play,,,
5.0 out of 5 stars,A great match 3 game,I am still playing!,,,
4.0 out of 5 stars,match 3,A little small to see &#34;town&#34; you create but good,,,
5.0 out of 5 stars,Good,Fun keeps you busy.,,,
4.0 out of 5 stars,Takes a bit to figure out some of the achievements but it is a fun game.,Needs to have better instructions for strategies.,,,
4.0 out of 5 stars,Idea,"Fun. Would like to be able to combine ""power plays"" in the game.",,,
1.0 out of 5 stars,One Star,Hate this game,,,
5.0 out of 5 stars,good will overcome the evil one,I like matching three items and win prizes . I get to go to different places. And rebuild resources. Makes my kingdom to become great.,,,
3.0 out of 5 stars,Short lived,"I like this game, but unlike other games when you complete a portion of the game, you don't keep going.  It doesn't matter if you win or lose, you lose a life.",,,
5.0 out of 5 stars,Five Stars,Real good game. Different game each time.,,,
5.0 out of 5 stars,Free Match 3 Game With Great Storyline,"Easily my favorite match 3 game out there and free to boot. I loved Cradle of Rome and this new game does not disappoint. It clearly takes place in Egypt and has a lot of fun levels and a great story line. Ideal for decompression.The city building aspects of the game are also great. You aren't just matching 3 items, you're building a quarry or upgrading a bakery. All in all a great game.",,,
3.0 out of 5 stars,Not good,Only let's you play for a bit.,,,
3.0 out of 5 stars,Needs to be larger,This game needs to be larger for better viewing I can hardly see some of the things I need clearly💋,,,
5.0 out of 5 stars,Fun,Good game,,,
4.0 out of 5 stars,First timer,Addicting...trying to beat the game,,,
4.0 out of 5 stars,An added dimension for a match three game,Intriguing gameplay with added dimension to just a plain match three game. I don't like that you have to play the same levels numerous times to progress.,,,
5.0 out of 5 stars,Fun enough,Good time waster.,,,
5.0 out of 5 stars,Am addicted! Loves all the different levels.,Am addicted!  Loves all the different levels.  It will hold my interest for a long time,,,
5.0 out of 5 stars,Game,Cool,,,
5.0 out of 5 stars,LOVE!!!!,I love the graphics in this game. The music is nice too! Just wish you didn't have to wait so long for energy!,,,
1.0 out of 5 stars,blah,too much tutorial - too much story blather - not nearly enough game play - blah - deleted it😕,,,
5.0 out of 5 stars,enjoy,I'm am truly  enjoying this game . It's challenging and fun .,,,
1.0 out of 5 stars,One Star,Didn't care for it. Too many steps.,,,
5.0 out of 5 stars,Cradle of Empires,I love this game. It has just enough challenges that keeps me entertained.,,,
2.0 out of 5 stars,Two Stars,ok,,,
1.0 out of 5 stars,I hit it by mistake,Not what I expected.,,,
3.0 out of 5 stars,Three Stars,it's okay,,,
4.0 out of 5 stars,fun game,It's not very fancy but it's fun. I liked cradle of rome better.,,,
4.0 out of 5 stars,Love this game.,Totally addictive. This game is loaded with endless levels and variations. Great play value and bonus levels. Definitely not your average three match game.,,,
5.0 out of 5 stars,Good game.,So far I like this game. Thanks,,,
1.0 out of 5 stars,Junk,Didn't care for the game.,,,
3.0 out of 5 stars,Loose energy too fast!,Didn’t like it! Too many areas to go in before next level. Not enough energy!,,,
4.0 out of 5 stars,good game,"Good game, addictive though it can be a but of a slog completing quests.",,,
4.0 out of 5 stars,Exciting,It is a bit challenging but enjoyable at the same time.,,,
4.0 out of 5 stars,A lot of fun,"An addictive game. I tell myself oh just a few match games, couple of hours later, I'm still at it.",,,
4.0 out of 5 stars,Great game,"Great game, just wish I. Could play longer each time.",,,
4.0 out of 5 stars,Cradle of Empires Lots Of Fun,Its a lot of fun but a bit pushy - it wants you to do there puzzles in there order to get then prizes,,,
4.0 out of 5 stars,This game is challenging and enjoyable.,"I Download this game and thought it going to be boring . I started to play, now I can not stop playing it's challenging.",,,
1.0 out of 5 stars,Don't bother with it.,Was nothing like the advertisement of the game.,,,
4.0 out of 5 stars,Fun way to pass the time.,I like the graphics.,,,
3.0 out of 5 stars,Costly,"I use this game for entertainment, relaxing, however I know as you advance it costs more. Then with upgrades you may lose all your progress and start all over. Depressing and not fun",,,
5.0 out of 5 stars,"Not complicated, easy fun and different from other games","Great gane, lots of fun",,,
4.0 out of 5 stars,Four Stars,fun matching game,,,
5.0 out of 5 stars,Cradle of empires,Nice game files take to much space,,,
5.0 out of 5 stars,grandson loves it,grandson loves it,,,
5.0 out of 5 stars,different,Unique gameplay that keeps everything interesting and is a great change of pace to this genre.,,,
5.0 out of 5 stars,Good job,Complex and enjoyable,,,
5.0 out of 5 stars,Start at the bottom,Love this game,,,
3.0 out of 5 stars,Three Stars,It was ok...,,,
5.0 out of 5 stars,Nice game,"This game is play a while and come back later,is ok for boredom",,,
1.0 out of 5 stars,One Star,"Not much fun, hard to understand",,,
5.0 out of 5 stars,Fun and Engaging,"This game is great fun. Yes, there's in-game purchases, but I've found with enough patience and persistence, I don't need them to advance or enjoy the game. The developers even took into account the increasing difficulty of the levels, and offer trophies (and their corresponding crystal rewards) for ""losing"" levels. Levels you can go back and repeat as necessary to score other rewards. YMMV of course.",,,
3.0 out of 5 stars,Three Stars,none,,,
5.0 out of 5 stars,Great,Love this game,,,
4.0 out of 5 stars,Great Match 3,This game is a lot of fun. Not too hard. But patience is needed it you don't want to spend $$ Good game.,,,
5.0 out of 5 stars,Great 👍game can't stop playing !!!!!!!!,This is a wonderful game play it everyday. Need to give more diamonds though.,,,
3.0 out of 5 stars,To many Ads,Too much ads that it becomes annoying.,,,
3.0 out of 5 stars,learning to play,Doesn't provide enough turns to earn higher score but overall its cool. Will continue to play!,,,
3.0 out of 5 stars,Can be a little mundane,I just found it kind of boring,,,
5.0 out of 5 stars,Great!,Having a lot of fun with this game.,,,
2.0 out of 5 stars,Two Stars,It wasn't what I thought it would be.,,,
5.0 out of 5 stars,great for all ages,"A well balanced mix of popular genres. Match 3, city building and resource/timer management. Easy to pick up and enjoy.",,,
3.0 out of 5 stars,Cradle of empires,Pretty good game so far,,,
4.0 out of 5 stars,Fun and Intuitive,This is a fun casual play play game with intuitive quests and gameplay. The leveling system is rewarding and builds off of your accumulated XP to gain stars vs. Starting from scratch to gain stars on each level. Very enjoyable.,,,
2.0 out of 5 stars,Two Stars,Didn't like it,,,
4.0 out of 5 stars,Fun but....,"Fun game to play but gets frustrating after a point . Cautions/complaints are: too few bonus tools unless you buy them (bombs, helmets, chariots), you can play a game many times and not get the key item, I have completed multiple sites but cannot upgrade to next levels until sufficient points are earned forcing you to play same games over and over or spend money. Cannot upload the game updates on kindle fire.",,,
4.0 out of 5 stars,Not sure yet,Needs better directions,,,
1.0 out of 5 stars,One Star,To redundent,,,
2.0 out of 5 stars,Two Stars,Did not like.,,,
5.0 out of 5 stars,Fun,I wasn't sure about this game. I thought that it was like many of the match three games. This one kept me Interested. I need to get some sleep but can't put it down.,,,
